LINEID,FG_ITEM_CODE,MACHINEID,SEQ,UPDATE_OUT_TIME,PROGRAMID,REWORK_SEQ,IS_SFG,SFG_ITEM_CODE,ENABLE,OUT_SCAN_REQUIRED,IS_LOTCREATE,ROUTE_NAME,TMO_PARTCODE,ISAUTOXRAYSAMPLING,SFGQty
ARC01,FXXXXXXXXXJCOW411SKD,ASSY_IN,1,1,,1,0,,1,0,0,FGROUTE1,,0,
ARC01,FXXXXXXXXXJCOW411SKD,1,2,1,,2,0,,1,0,0,FGROUTE1,CPHRL33AC003J,0,
ARC01,FXXXXXXXXXJCOW411SKD,1,2,1,,2,0,,1,0,0,FGROUTE1,CPHRL33AC003J,0,
ARC01,FXXXXXXXXXJCOW411SKD,1,2,1,,2,0,,1,0,0,FGROUTE1,CPHRL33AC003J,0,
ARC01,FXXXXXXXXXJCOW411SKD,AFT1,3,1,,3,0,,1,0,0,FGROUTE1,,0,
ARC01,FXXXXXXXXXJCOW411SKD,AFT2,4,1,,3,0,,1,0,0,FGROUTE1,,0,
ARC01,FXXXXXXXXXJCOW411SKD,AFT3,5,1,,3,0,,1,0,0,FGROUTE1,,0,
ARC01,FXXXXXXXXXJCOW411SKD,2,6,1,,3,0,,1,0,0,FGROUTE1,,0,
ARC01,FXXXXXXXXXJCOW411SKD,Label  Verification,7,1,,3,0,,1,0,0,FGROUTE1,,0,
ARC01,FXXXXXXXXXJCOW411SKD,3,8,1,,3,0,,1,0,0,FGROUTE1,,0,
ARC01,FXXXXXXXXXJCOW411SKD,PACK_IN,9,1,,3,0,,1,0,0,FGROUTE1,PPHRL33AC003J,0,
ARC01,FXXXXXXXXXJCOW411SKD,WTMACHINE,10,1,,3,0,,1,0,0,FGROUTE1,,0,
ARC01,FXXXXXXXXXJCOW411SKD,Final Visual Inspection,11,1,,3,0,,1,0,1,FGROUTE1,,0,
OQC1,FXXXXXXXXXJCOW411SKD,OQC1(IQF),12,1,,12,0,,1,0,1,FGROUTE1,,0,
OQC2,FXXXXXXXXXJCOW411SKD,OQC2(AFT1),13,1,,13,0,,1,0,1,FGROUTE1,,0,
ARC01,FXXXXXXXXXJCOW411SKD,BLT_INPUT,14,1,,14,0,,1,0,0,FGROUTE1,,0,
