LINEID,FG_ITEM_CODE,MACHINEID,SEQ,UPDATE_OUT_TIME,PROGRAMID,REWORK_SEQ,IS_SFG,SFG_ITEM_CODE,ENABLE,OUT_SCAN_REQUIRED,IS_LOTCREATE,ROUTE_NAME,TMO_PARTCODE,ISAUTOXRAYSAMPLING,SFGQTY,MAXPCB_INTIME
1,FXXXXXXXXXJCOW411ARC,Loader 1,1,1,JCOW411_ARC_BOT_NXTIII_LINE_1,1,0,,1,0,0,FGROUTE1,WPHRL33AC003J,0,,10
1,FXXXXXXXXXJCOW411ARC,SPI 1,2,1,JCOW411_ARC_BOT_NXTIII_LINE_1,2,0,,1,0,0,FGROUTE1,SPHRL33AC003J,0,,
1,FXXXXXXXXXJCOW411ARC,AOI 3D 1,3,1,JCOW411_ARC_BOT_NXTIII_LINE_1,3,0,,1,0,0,FGROUTE1,,1,,
1,FXXXXXXXXXJCOW411ARC,Loader 1,4,1,JCOW411_ARC_TOP_NXTIII_LINE_1,4,0,,1,0,0,FGROUTE1,,0,,
1,FXXXXXXXXXJCOW411ARC,SPI 1,5,1,JCOW411_ARC_TOP_NXTIII_LINE_1,5,0,,1,0,0,FGROUTE1,,0,,
1,FXXXXXXXXXJCOW411ARC,AOI 3D 1,6,1,JCOW411_ARC_TOP_NXTIII_LINE_1,6,0,,1,0,1,FGROUTE1,,1,,
SMTQ1,FXXXXXXXXXJCOW411ARC,SMT 1 QA GF,7,1,JCOW411_ARC_TOP_NXTIII_LINE_1,6,0,,1,0,0,FGROUTE1,,0,,
MIGF1,FXXXXXXXXXJCOW411ARC,MI_INPUT,8,1,JCOW411_MI,8,0,,1,0,0,FGROUTE1,TPHRL33AC003J,0,,
BOSA,FXXXXXXXXXJCOW411ARC,BOSA_01,9,1,JCOW411_MI,9,0,,1,0,0,FGROUTE1,,0,,
MIGF1,FXXXXXXXXXJCOW411ARC,WSM-01,10,1,JCOW411_MI,10,0,,1,0,0,FGROUTE1,NPHRL33AC003J,0,,
MIGF1,FXXXXXXXXXJCOW411ARC,MI VISUAL INSPECTION,11,1,JCOW411_MI,11,0,,1,0,1,FGROUTE1,,0,,
MIQA1,FXXXXXXXXXJCOW411ARC,MIQA1,12,1,JCOW411_MI,11,0,,1,0,0,FGROUTE1,,0,,
ARC01,FXXXXXXXXXJCOW411ARC,BLT_INPUT,13,1,,13,0,,1,0,0,FGROUTE1,,0,,
ARC01,FXXXXXXXXXJCOW411ARC,APT1,14,1,,14,0,,1,0,0,FGROUTE1,,0,,
ARC01,FXXXXXXXXXJCOW411ARC,IQF,15,1,,14,0,,1,0,1,FGROUTE1,,0,,
OQC1,FXXXXXXXXXJCOW411ARC,OQC1(IQF),16,1,,14,0,,1,0,0,FGROUTE1,,0,,
ARC01,FXXXXXXXXXJCOW411ARC,APT2,17,1,,14,0,,1,0,0,FGROUTE1,,0,,
ARC01,FXXXXXXXXXJCOW411ARC,APT3,18,1,,14,0,,1,0,0,FGROUTE1,,0,,
ARC01,FXXXXXXXXXJCOW411ARC,ASSY_IN,19,1,,14,0,,1,0,0,FGROUTE1,,0,,
ARC01,FXXXXXXXXXJCOW411ARC,PCBA Visual,20,1,,14,0,,1,0,0,FGROUTE1,,0,,
ARC01,FXXXXXXXXXJCOW411ARC,1,21,1,,14,0,,1,0,0,FGROUTE1,CPHRL33AC003J,0,,
ARC01,FXXXXXXXXXJCOW411ARC,1,21,1,,14,0,,1,0,0,FGROUTE1,CPHRL33AC003J,0,,
ARC01,FXXXXXXXXXJCOW411ARC,1,21,1,,14,0,,1,0,0,FGROUTE1,CPHRL33AC003J,0,,
ARC01,FXXXXXXXXXJCOW411ARC,AFT1,22,1,,14,0,,1,0,1,FGROUTE1,,0,,
OQC2,FXXXXXXXXXJCOW411ARC,OQC2(AFT1),23,1,,14,0,,1,0,0,FGROUTE1,,0,,
ARC01,FXXXXXXXXXJCOW411ARC,AFT2,24,1,,14,0,,1,0,0,FGROUTE1,,0,,
ARC01,FXXXXXXXXXJCOW411ARC,AFT3,25,1,,14,0,,1,0,0,FGROUTE1,,0,,
ARC01,FXXXXXXXXXJCOW411ARC,2,26,1,,14,0,,1,0,0,FGROUTE1,,0,,
ARC01,FXXXXXXXXXJCOW411ARC,Label  Verification,27,1,,14,0,,1,0,0,FGROUTE1,,0,,
ARC01,FXXXXXXXXXJCOW411ARC,PACK_IN,28,1,,14,0,,1,0,0,FGROUTE1,PPHRL33AC003J,0,,
ARC01,FXXXXXXXXXJCOW411ARC,3,29,1,,28,0,,1,0,0,FGROUTE1,,0,,
ARC01,FXXXXXXXXXJCOW411ARC,Final Visual Inspection,30,1,,28,0,,1,0,0,FGROUTE1,,0,,
ARC01,FXXXXXXXXXJCOW411ARC,WTMACHINE,31,1,,28,0,,1,0,0,FGROUTE1,,0,,
